Time,Channel B
(us),(V)

365.18398967,0.00842766
365.19998967,0.00000000
365.21598967,-0.00842766
365.23198967,0.03377214
365.24798967,0.07600271
365.26398967,0.02531373
365.27998967,-0.06757505
365.29598967,-0.05911664
365.31198967,0.09291954
365.32798967,0.02531373
365.34398967,-0.02531373
365.35998967,0.00842766
365.37598967,-0.01688607
365.39198967,0.00842766
365.40798967,0.01688607
365.42398967,0.00842766
365.43998966,0.00000000
365.45598966,-0.03377214
365.47198966,0.00000000
365.48798966,0.01688607
365.50398966,0.00000000
365.51998966,-0.00842766
365.53598966,0.00842766
365.55198966,0.00000000
365.56798966,-0.01688607
365.58398966,0.00000000
365.59998966,0.02531373
365.61598966,0.00000000
365.63198966,-0.02531373
365.64798966,-0.00842766
365.66398966,0.00842766
365.67998966,0.00842766
365.69598966,-0.01688607
365.71198966,-0.01688607
365.72798966,0.00842766
365.74398966,0.01688607
365.75998966,0.00000000
365.77598966,-0.01688607
365.79198965,0.00000000
365.80798965,0.00000000
365.82398965,0.00842766
365.83998965,-0.00842766
365.85598965,-0.01688607
365.87198965,0.00000000
365.88798965,0.00842766
365.90398965,0.00000000
365.91998965,-0.00842766
365.93598965,0.00000000
365.95198965,0.00000000
365.96798965,-0.01688607
365.98398965,-0.00842766
365.99998965,0.00842766
366.01598965,0.00000000
366.03198965,-0.00842766
366.04798965,-0.00842766
366.06398965,0.00000000
366.07998965,0.01688607
366.09598965,0.00000000
366.11198965,-0.02531373
366.12798965,-0.00842766
366.14398964,0.00842766
366.15998964,0.00000000
366.17598964,-0.01688607
366.19198964,0.00842766
366.20798964,-0.01688607
366.22398964,-0.01688607
366.23998964,0.01688607
366.25598964,0.00842766
366.27198964,-0.00842766
366.28798964,-0.02531373
366.30398964,-0.01688607
366.31998964,0.00000000
366.33598964,0.00000000
366.35198964,0.00000000
366.36798964,-0.02531373
366.38398964,-0.00842766
366.39998964,0.00000000
366.41598964,0.00000000
366.43198964,0.00000000
366.44798964,-0.00842766
366.46398964,-0.01688607
366.47998964,-0.01688607
366.49598963,0.00000000
366.51198963,0.00000000
366.52798963,-0.01688607
366.54398963,-0.02531373
366.55998963,-0.01688607
366.57598963,0.00842766
366.59198963,0.00000000
366.60798963,-0.00842766
366.62398963,-0.01688607
366.63998963,-0.02531373
366.65598963,-0.00842766
366.67198963,0.00000000
366.68798963,-0.00842766
366.70398963,-0.01688607
366.71998963,-0.01688607
366.73598963,-0.00842766
366.75198963,0.00000000
366.76798963,0.00000000
366.78398963,-0.01688607
366.79998963,-0.02531373
366.81598963,-0.00842766
366.83198963,0.00000000
366.84798962,-0.00842766
366.86398962,-0.01688607
366.87998962,-0.01688607
366.89598962,-0.00842766
366.91198962,-0.00842766
366.92798962,-0.00842766
366.94398962,-0.01688607
366.95998962,-0.00842766
366.97598962,-0.01688607
366.99198962,-0.01688607
367.00798962,-0.00842766
367.02398962,-0.01688607
367.03998962,-0.01688607
367.05598962,-0.00842766
367.07198962,-0.01688607
367.08798962,0.00000000
367.10398962,-0.01688607
367.11998962,-0.02531373
367.13598962,-0.00842766
367.15198962,-0.01688607
367.16798962,0.00842766
367.18398962,-0.02531373
367.19998961,-0.04223056
367.21598961,-0.00842766
367.23198961,0.00000000
367.24798961,-0.01688607
367.26398961,-0.02531373
367.27998961,-0.01688607
367.29598961,-0.00842766
367.31198961,-0.00842766
367.32798961,-0.02531373
367.34398961,0.00000000
367.35998961,-0.02531373
367.37598961,-0.02531373
367.39198961,-0.00842766
367.40798961,0.00842766
367.42398961,-0.02531373
367.43998961,-0.02531373
367.45598961,-0.01688607
367.47198961,0.00000000
367.48798961,-0.01688607
367.50398961,-0.02531373
367.51998961,-0.01688607
367.53598961,-0.01688607
367.55198960,-0.02531373
367.56798960,-0.00842766
367.58398960,-0.00842766
367.59998960,-0.02531373
367.61598960,-0.01688607
367.63198960,-0.00842766
367.64798960,-0.01688607
367.66398960,-0.02531373
367.67998960,-0.00842766
367.69598960,-0.02531373
367.71198960,-0.02531373
367.72798960,-0.02531373
367.74398960,0.00000000
367.75998960,-0.00842766
367.77598960,-0.05065822
367.79198960,-0.01688607
367.80798960,0.00842766
367.82398960,-0.01688607
367.83998960,-0.03377214
367.85598960,-0.01688607
367.87198960,-0.01688607
367.88798960,-0.01688607
367.90398959,-0.01688607
367.91998959,-0.03377214
367.93598959,-0.01688607
367.95198959,-0.00842766
367.96798959,-0.01688607
367.98398959,-0.03377214
367.99998959,-0.00842766
368.01598959,-0.01688607
368.03198959,-0.03377214
368.04798959,-0.01688607
368.06398959,-0.02531373
368.07998959,-0.00842766
368.09598959,-0.01688607
368.11198959,-0.04223056
368.12798959,-0.01688607
368.14398959,0.00000000
368.15998959,-0.02531373
368.17598959,-0.05065822
368.19198959,0.00842766
368.20798959,-0.01688607
368.22398959,-0.04223056
368.23998959,-0.01688607
368.25598959,-0.01688607
368.27198958,-0.01688607
368.28798958,-0.01688607
368.30398958,-0.03377214
368.31998958,-0.02531373
368.33598958,-0.00842766
368.35198958,-0.02531373
368.36798958,-0.01688607
368.38398958,-0.00842766
368.39998958,-0.03377214
368.41598958,-0.01688607
368.43198958,-0.01688607
368.44798958,-0.03377214
368.46398958,-0.02531373
368.47998958,-0.02531373
368.49598958,-0.01688607
368.51198958,-0.01688607
368.52798958,-0.05065822
368.54398958,-0.03377214
368.55998958,0.00000000
368.57598958,-0.02531373
368.59198958,-0.03377214
368.60798958,-0.02531373
368.62398957,-0.02531373
368.63998957,-0.01688607
368.65598957,-0.01688607
368.67198957,-0.04223056
368.68798957,-0.01688607
368.70398957,-0.01688607
368.71998957,-0.02531373
368.73598957,-0.03377214
368.75198957,-0.03377214
368.76798957,-0.01688607
368.78398957,-0.02531373
368.79998957,-0.05065822
368.81598957,-0.02531373
368.83198957,-0.01688607
368.84798957,-0.03377214
368.86398957,-0.02531373
368.87998957,-0.02531373
368.89598957,-0.02531373
368.91198957,-0.03377214
368.92798957,-0.01688607
368.94398957,-0.02531373
368.95998957,-0.03377214
368.97598956,-0.03377214
368.99198956,-0.01688607
369.00798956,-0.02531373
369.02398956,-0.03377214
369.03998956,-0.03377214
369.05598956,-0.01688607
369.07198956,-0.03377214
369.08798956,-0.04223056
369.10398956,-0.00842766
369.11998956,-0.00842766
369.13598956,-0.05065822
369.15198956,-0.05065822
369.16798956,0.00000000
369.18398956,-0.02531373
369.19998956,-0.05065822
369.21598956,-0.02531373
369.23198956,-0.01688607
369.24798956,-0.03377214
369.26398956,-0.03377214
369.27998956,-0.02531373
369.29598956,-0.03377214
369.31198956,-0.02531373
369.32798955,-0.04223056
369.34398955,-0.03377214
369.35998955,-0.03377214
369.37598955,-0.03377214
369.39198955,-0.04223056
369.40798955,-0.01688607
369.42398955,-0.03377214
369.43998955,-0.05065822
369.45598955,-0.02531373
369.47198955,-0.01688607
369.48798955,-0.04223056
369.50398955,-0.04223056
369.51998955,-0.02531373
369.53598955,-0.03377214
369.55198955,-0.05065822
369.56798955,-0.03377214
369.58398955,-0.00842766
369.59998955,-0.04223056
369.61598955,-0.05911664
369.63198955,-0.02531373
369.64798955,-0.01688607
369.66398955,-0.04223056
369.67998954,-0.04223056
369.69598954,-0.03377214
369.71198954,-0.04223056
369.72798954,-0.02531373
369.74398954,-0.02531373
369.75998954,-0.03377214
369.77598954,-0.03377214
369.79198954,-0.04223056
369.80798954,-0.03377214
369.82398954,-0.03377214
369.83998954,-0.06757505
369.85598954,0.00842766
369.87198954,-0.02531373
369.88798954,-0.05911664
369.90398954,-0.05065822
369.91998954,-0.04223056
369.93598954,0.00842766
369.95198954,-0.02531373
369.96798954,-0.07600271
369.98398954,-0.04223056
369.99998954,0.00842766
370.01598954,-0.05911664
370.03198953,-0.04223056
370.04798953,0.00000000
370.06398953,0.05911664
370.07998953,-0.10980560
370.09598953,-0.09291954
370.11198953,0.20272510
370.12798953,0.03377214
370.14398953,-0.78564830
370.15998953,0.43082550
370.17598953,0.27033100
370.19198953,-0.55754800
370.20798953,0.22806960
370.22398953,0.08446112
370.23998953,-0.34636440
370.25598953,0.10980560
370.27198953,0.09291954
370.28798953,-0.12669170
370.30398953,-0.05911664
370.31998953,0.00842766
370.33598953,-0.01688607
370.35198953,-0.09291954
370.36798953,0.00842766
370.38398952,-0.01688607
370.39998952,-0.05065822
370.41598952,-0.04223056
370.43198952,-0.04223056
370.44798952,-0.01688607
370.46398952,0.00842766
370.47998952,-0.07600271
370.49598952,-0.04223056
370.51198952,-0.01688607
370.52798952,-0.01688607
370.54398952,-0.00842766
370.55998952,-0.08446112
370.57598952,-0.05065822
370.59198952,0.03377214
370.60798952,-0.02531373
370.62398952,-0.10134720
370.63998952,-0.01688607
370.65598952,0.00842766
370.67198952,-0.05911664
370.68798952,-0.04223056
370.70398952,0.00000000
370.71998952,-0.05065822
370.73598951,-0.04223056
370.75198951,-0.01688607
370.76798951,-0.05065822
370.78398951,-0.04223056
370.79998951,-0.00842766
370.81598951,-0.05911664
370.83198951,-0.05065822
370.84798951,0.00000000
370.86398951,-0.02531373
370.87998951,-0.06757505
370.89598951,-0.02531373
370.91198951,-0.03377214
370.92798951,-0.05911664
370.94398951,-0.00842766
370.95998951,-0.03377214
370.97598951,-0.06757505
370.99198951,-0.01688607
371.00798951,-0.01688607
371.02398951,-0.05065822
371.03998951,-0.03377214
371.05598951,-0.02531373
371.07198951,-0.06757505
371.08798950,-0.03377214
371.10398950,-0.00842766
371.11998950,-0.05065822
371.13598950,-0.04223056
371.15198950,-0.01688607
371.16798950,-0.05065822
371.18398950,-0.05065822
371.19998950,-0.00842766
371.21598950,-0.04223056
371.23198950,-0.05911664
371.24798950,-0.02531373
371.26398950,-0.03377214
371.27998950,-0.04223056
371.29598950,-0.03377214
371.31198950,-0.03377214
371.32798950,-0.05065822
371.34398950,-0.04223056
371.35998950,-0.02531373
371.37598950,-0.05065822
371.39198950,-0.04223056
371.40798950,-0.03377214
371.42398950,-0.05065822
371.43998949,-0.04223056
371.45598949,-0.02531373
371.47198949,-0.05065822
371.48798949,-0.05065822
371.50398949,-0.03377214
371.51998949,-0.04223056
371.53598949,-0.04223056
371.55198949,-0.03377214
371.56798949,-0.04223056
371.58398949,-0.05911664
371.59998949,0.00000000
371.61598949,-0.03377214
371.63198949,-0.09291954
371.64798949,-0.02531373
371.66398949,-0.01688607
371.67998949,-0.05065822
371.69598949,-0.03377214
371.71198949,-0.05065822
371.72798949,-0.05065822
371.74398949,-0.01688607
371.75998949,-0.04223056
371.77598949,-0.09291954
371.79198949,0.00842766
371.80798948,-0.04223056
371.82398948,-0.06757505
371.83998948,-0.03377214
371.85598948,-0.03377214
371.87198948,-0.04223056
371.88798948,-0.03377214
371.90398948,-0.04223056
371.91998948,-0.04223056
371.93598948,-0.04223056
371.95198948,-0.03377214
371.96798948,-0.04223056
371.98398948,-0.04223056
371.99998948,-0.04223056
372.01598948,-0.04223056
372.03198948,-0.04223056
372.04798948,-0.02531373
372.06398948,-0.05065822
372.07998948,-0.05065822
372.09598948,-0.02531373
372.11198948,-0.04223056
372.12798948,-0.04223056
372.14398948,-0.03377214
372.15998947,-0.04223056
372.17598947,-0.04223056
372.19198947,-0.04223056
372.20798947,-0.05065822
372.22398947,-0.03377214
372.23998947,-0.02531373
372.25598947,-0.05065822
372.27198947,-0.04223056
372.28798947,-0.03377214
372.30398947,-0.03377214
372.31998947,-0.05065822
372.33598947,-0.04223056
372.35198947,-0.04223056
372.36798947,-0.04223056
372.38398947,-0.04223056
372.39998947,-0.03377214
372.41598947,-0.04223056
372.43198947,-0.04223056
372.44798947,-0.04223056
372.46398947,-0.04223056
372.47998947,-0.04223056
372.49598947,-0.03377214
372.51198946,-0.04223056
372.52798946,-0.04223056
372.54398946,-0.04223056
372.55998946,-0.04223056
372.57598946,-0.04223056
372.59198946,-0.04223056
372.60798946,-0.04223056
372.62398946,-0.04223056
372.63998946,-0.04223056
372.65598946,-0.04223056
372.67198946,-0.04223056
372.68798946,-0.03377214
372.70398946,-0.05065822
372.71998946,-0.05065822
372.73598946,-0.03377214
372.75198946,-0.04223056
372.76798946,-0.04223056
372.78398946,-0.03377214
372.79998946,-0.04223056
372.81598946,-0.04223056
372.83198946,-0.04223056
372.84798946,-0.03377214
